,entity,description,category,node_occurence_flag
5698,kubectl cp command,a command to copy files from and into a container,command,Single
5700,log file,a file containing application logs,data storage,Single
5701,termination message,a message written to a file by a container when it terminates,message,Single
5702,application logging,the process of writing logs from an application,logging,Single
5707,logging,process of recording events and errors,application,Single
5708,centralized logging,system for collecting and storing logs in a central location,software,Single
5709,cluster-wide logging,system for collecting and storing logs across multiple nodes,software,Single
5712,ELK stack,collection of tools for logging and analytics,software,Single
5713,EFK stack,modified version of ELK stack using FluentD instead of Logstash,software,Single
5724,Java,A programming language where exception stack traces can span multiple lines.,programming language,Single
5726,node-level FluentD agent,A configuration of the FluentD agent on a node to process JSON logs.,software,Single
5727,logging sidecar container,A container that processes JSON logs and writes them to a file.,container,Single
5728,IDE,An Integrated Development Environment where developers can run apps directly without containers.,application,Single
5729,BACKEND_SERVICE_HOST,An environment variable used to find the coordinates of a backend Service.,environment variable,Single
5730,BACKEND_SERVICE_PORT,An environment variable used to find the port number of a backend Service.,environment variable,Single
5745,Docker volumes,Feature that allows mounting local filesystems into containers,software,Single
5747,DOCKER_HOST,An environment variable that points to the Docker daemon.,environment variable,Single
5748,minikube docker-env,A command that sets up the environment variables for Minikube.,command,Single
5754,Version Control System,"A system for storing and managing code, such as Git or SVN.",system,Single
5761,Kube-applier,A tool that automates the deployment of Kubernetes manifests,application,Single
5762,Version Control System (VCS),A system for managing and tracking changes to code,software,Single
5764,Kubernetes resource manifests,Files that define the configuration of Kubernetes resources,database,Single
5772,CI/CD,Continuous Integration and Continuous Delivery pipeline,process,Single
5773,Fabric8 project,An integrated development platform for Kubernetes,application,Single
5774,Jenkins,An open-source automation system,software,Single
5777,container lifecycle hooks,Hooks that can be used to customize container startup and shutdown,software,Single
5779,manifests,Files that define the desired state of a Kubernetes resource,software,Single
5780,image sizes,small image sizes for apps,software,Single
5784,Mini-kube,local Kubernetes cluster,software,Single
5787,Platform-as-a-Service,PaaS solutions on top of Kubernetes,software,Single
5791,Platform-as-a-Service (PaaS),cloud computing model for deploying applications,application,Single
5792,API servers,components that handle requests to custom API objects,software,Single
5794,OpenShift Container Platform,Red Hat's PaaS solution built on top of Kubernetes,application,Single
5795,Deis Workflow and Helm,tools for deploying applications to Kubernetes,software,Single
5800,CustomResourceDefinitions,Kubernetes feature for defining custom resources,software,Single
5802,Queue resource,High-level object representing a messaging broker,software,Single
5806,Third-PartyResource,Deprecated Kubernetes feature for defining custom resources,software,Single
5810,Website resource,Custom resource type for running static websites in Kubernetes,software,Single
5820,scope,Scope of the custom resource (namespaced or cluster-wide),software,Single
5821,Namespaced,Scope for the custom resource (namespaced),software,Single
5824,website-crd.yaml,File containing the CustomResourceDefinition manifest,software,Single
5825,imaginary-kubia-website.yaml,File containing an imaginary custom resource definition,software,Single
5826,Custom Resource Definition,A CustomResourceDefinition (CRD) is used to define custom API objects.,Software,Single
5828,API Group,A way to group related API resources together.,Software,Single
5829,Version,The version number of an API resource.,Software,Single
5831,Website,A custom API object representing a website.,Software,Single
5835,apps/v1beta1,The API group and version for Deployments.,Software,Single
5836,extensions.example.com,The API group for the custom Website resource.,Software,Single
5846,websites,custom resource type for storing website configurations,database,Single
5848,Website.v1.extensions.example.com,API group and version for the custom Website resource,software,Single
5849,extensions.example.com/v1,API group and version for the custom Website resource,software,Single
5856,website,resource type for storing website configurations,database,Single
5877,nginx server,Web server software,software,Single
5878,git-sync process,Process that keeps a local directory synced with a Git repo,process,Single
5885,DELETED watch event,an event sent by the API server when a Website resource instance is deleted,process,Single
5892,Deployment resource,a Kubernetes resource that manages replicas of a pod,application,Single
5906,serviceAccountName,the name of a service account,software,Single
5910,luksa/website-controller,the image name for the website controller,software,Single
5914,Role Based Access Control (RBAC),a mechanism for controlling access to resources in a Kubernetes cluster,software,Single
5921,kubia Website,a type of Kubernetes resource that represents the kubia website,software,Single
5923,website-controller,the name of the website controller service account,software,Single
5925,proxy sidecar,a type of container that provides proxy functionality,software,Single
5931,"get deploy,svc,po","The command used to list all Deployments, Services, and Pods.",command,Single
5932,cluster-IP,The Cluster IP address of the Service.,network,Single
5940,validation schema,A validation schema to validate the contents of the YAML.,software,Single
5942,gitRepo field,A required field in the Website object.,database,Single
5945,CustomResourceValidation,Feature gate for validating custom objects,software,Single
5946,JSON schema,Schema for validating custom object definitions,software,Single
5950,API server aggregation,Feature for integrating multiple API servers into a single location,software,Single
5952,Custom API server,API server responsible for handling custom objects,software,Single
5953,Main API server,Primary API server for Kubernetes,software,Single
5957,etcd store,Key-value store for storing Kubernetes resources,database,Single
5958,APIService,Resource for registering a custom API server,software,Single
5959,API group,Namespace for APIs (e.g. extensions.example.com),network,Single
5963,custom API server,API server built on top of Kubernetes,software,Single
5965,GitHub repos,Kubernetes source code repository on GitHub,software development,Single
5970,Client pod,Pod that uses a service to authenticate,container,Single
5978,Team,Group of users who are responsible for deploying general services,group,Single
5979,Ticket,Request for a service to be provisioned by the team,request,Single
5980,Manifests,Files that define the configuration and deployment of a service,file,Single
5990,ServiceBroker,Resource representing a service broker,resource,Single
5992,Client pods,Pods that use provisioned services,container,Single
5993,Provisioned services,Services provided by external systems,resource,Single
5994,Broker A and Broker B,External service brokers,software,Single
5996,Service Brokers,External service providers that implement the OpenServiceBroker API,application,Single
5997,OpenServiceBroker API,REST API for interacting with Service Brokers,software,Single
5998,GET /v2/catalog,Operation to retrieve the list of services from a Service Broker,operation,Single
5999,PUT /v2/service_instances/:id,Operation to provision a service instance from a Service Broker,operation,Single
6000,PATCH /v2/service_instances/:id,Operation to update a service instance from a Service Broker,operation,Single
6001,PUT /v2/service_instances/:id/service_bindings/:binding_id,Operation to bind a service instance from a Service Broker,operation,Single
6002,DELETE /v2/service_instances/:id/service_bindings/:binding_id,Operation to unbind a service instance from a Service Broker,operation,Single
6003,DELETE /v2/service_instances/:id,Operation to deprovision a service instance from a Service Broker,operation,Single
6010,url,Field in the ClusterServiceBroker resource manifest specifying the URL of the Service Broker's OpenServiceBroker API,field,Single
6012,service plans,Options for choosing the level of service needed for a particular type of service,option,Single
6020,bindable,Flag indicating whether a service can be bound to a cluster,flag,Single
6021,brokerName,Name of the broker providing a service,identifier,Single
6022,plans,List of available plans for a ClusterServiceClass,list,Single
6023,planUpdatable,Flag indicating whether a plan can be updated,flag,Single
6024,osbFree,Flag indicating whether a plan is free or paid,flag,Single
6028,postgres-database,ClusterServiceClass for PostgreSQL database,software,Single
6031,--data-checksums,Parameter for initializing database,command,Single
6033,get instance,Command for retrieving service instance status,command,Single
6039,clusterServiceClassName,Field in ServiceInstance manifest,field,Single
6040,clusterServicePlanName,Field in ServiceInstance manifest,field,Single
6041,Kubernetes Service Catalog,A Kubernetes feature that allows users to provision and use external services,software,Single
6048,instanceRef,A reference to the ServiceInstance being bound,software,Single
6049,secretName,The name of the Secret that will store the credentials for accessing the service,software,Single
6051,Database broker,A component that interacts with the Database service to provision and bind ServiceInstances,software,Single
6052,PodPresets,A new Kubernetes feature that will allow pods to be pre-configured with credentials for accessing services,software,Single
6054,PostgreSQL database,An external service being provisioned and used by the Service Catalog,database,Single
6056,get secret,command to retrieve a Secret resource from a Kubernetes cluster,software,Single
6057,postgres-secret,Secret resource holding database credentials,database,Single
6062,username,field containing username for database connection,database,Single
6063,password,field containing password for database connection,database,Single
6070,servicebroker,component responsible for managing service instances,software,Single
6073,servicebinding,resource representing a binding between a service and a pod,application,Single
6077,broker,Software component for provisioning services,software,Single
6078,Amazon Web Services,Cloud computing platform,cloud service,Single
6082,Red Hat OpenShift,Platform-as-a-Service and container application platform,application,Single
6083,developer experience,Focus area for Red Hat OpenShift,software feature,Single
6085,scaling,Process of adjusting application resources,process,Single
6086,maintenance,Process of keeping applications up-to-date and secure,process,Single
6087,user management,Feature for managing user access to Kubernetes resources,software feature,Single
6088,group management,Feature for managing group access to Kubernetes resources,software feature,Single
6090,projects,Additional resource in OpenShift,resource,Single
6093,Templates,A parameterizable list in OpenShift that allows a manifest to be instantiated with parameter values.,software,Single
6094,BuildConfigs,A configuration for building images in OpenShift.,software,Single
6095,DeploymentConfigs,A configuration for deploying applications in OpenShift.,software,Single
6096,ImageStreams,A stream of images in OpenShift that can be used to deploy applications.,software,Single
6097,Routes,A way to expose an application running in OpenShift to the outside world.,software,Single
6099,Projects,"A concept in OpenShift that represents a set of resources, similar to a namespace in Kubernetes.",software,Single
6100,Users,An entity in OpenShift that has access to certain projects and can perform actions on resources within those projects.,hardware,Single
6101,Groups,A collection of users in OpenShift that have shared permissions.,hardware,Single
6102,Roles-Based Access Control (RBAC),A standard access control mechanism in Kubernetes that defines permissions for users and groups.,software,Single
6107,Templates (parameterizable),A way to define resources in OpenShift using placeholders that get replaced with parameter values when instantiated.,software,Single
6109,OpenShift,Cloud platform built on top of Kubernetes,software,Single
6113,Java EE application,Type of application that can be run using OpenShift templates,application,Single
6114,Application Server,Component used to connect to a back-end database,component,Single
6117,Source To Image,Build mechanism that detects application type and runs proper build procedure,process,Single
6118,Maven,Build tool used for Java projects,tool,Single
6127,Builder pod,OpenShift component for building images,component,Single
6131,Build trigger,OpenShift component for triggering builds,component,Single
6132,Git repo,Version control system,software,Single
6133,Minishift,Tool for running OpenShift locally,software,Single
6134,OpenShift Online Starter,"Free, hosted version of OpenShift",service,Single
6142,git,Version control system,software,Single
6145,Charts,Helm packages containing application configuration and resources,software,Single
6146,Config,Configuration information merged into a Chart to create a Release,software,Single
6150,Linux system,Operating system,hardware/software,Single
6152,PostgreSQL,Database management system,database,Single
6153,MySQL,Database management system,database,Single
6154,Helm chart,Package for deploying applications to Kubernetes,software,Single
6159,OpenVPN,Virtual private network software,software,Single
6161,helm CLI tool,Command-line interface for interacting with Helm,software,Single
6164,Custom-ResourceDefinition,API server object for registering custom resources,software,Single
6170,Resource manifests,Files that define the resources needed by an application,software,Single
6171,API aggregation,Kubernetes feature that allows custom API servers to be added,software,Single
6176,kubeconfig,Configuration file for kubectl to interact with clusters,configuration,Single
6177,minikube start,Command to start a Minikube cluster and reconfigure kubectl,command,Single
6178,gcloud container clusters get-credentials,Command to configure kubectl to use a GKE cluster,command,Single
6180,multiple clusters,ability to manage multiple Kubernetes clusters simultaneously,application,Single
6183,KUBECONFIG environment variable,environment variable used to specify the location of kubeconfig files,process,Single
6184,clusters,list of Kubernetes clusters defined in the kubeconfig file,database,Single
6186,contexts,"list of kubectl contexts that define a cluster, user, and namespace",database,Single
6187,current-context,name of the current kubectl context being used,process,Single
6190,certificate-authority,field in the cluster definition that specifies the certificate authority,database,Single
6191,/home/luksa/.minikube/ca.crt,path to the certificate authority file,hardware,Single
6193,https://192.168.99.100:8443,address of the Kubernetes server,network,Single
6197,user,field in the context definition that specifies the user being used,database,Single
