,index,Unnamed: 0,entity,description,category,node_occurence_flag
392,392,1278,DNS round-robin,mechanism for distributing traffic across multiple pods,process,Single
393,393,1281,service.alpha.kubernetes.io/tolerate-unready-endpoints,annotation for tolerating unready endpoints,database,Single
394,394,1282,publishNotReadyAddresses,field for publishing not ready addresses,database,Single
395,395,1283,Kubernetes version 1.9.0,version of Kubernetes,software,Single
396,396,1289,port exposed by the service,The port number that a service exposes to clients.,application,Single
397,397,1293,Kubernetes Service resources,A type of resource in Kubernetes that exposes services available in an application.,application,Single
398,398,1300,ExternalName service type,A type of service in Kubernetes that provides a DNS CNAME alias for external services.,network,Single
399,399,1303,pod container,a pod's readiness probe is used to determine whether a pod should or shouldn't be included as a service endpoint,container,Single
400,400,1306,bash shell,running a bash shell in an existing pod's container,process,Single
401,401,1308,kubernetes resources,managed by kubectl apply command,application,Single
402,402,1309,pod IPs,discovered through DNS when creating a headless service,network,Single
403,403,1311,Volumes,attaching disk storage to containers,software,Single
404,404,1320,Disk storage,persistent storage for containers,hardware,Single
405,405,1323,Persistent storage,shared disk storage between containers,hardware,Single
406,406,1332,/var/logs,A directory in the filesystem used by containers to store logs,filesystem,Single
407,407,1333,/var/html,A directory in the filesystem used by containers to create and store HTML files,filesystem,Single
408,408,1334,web server,A software application that serves HTTP requests and returns web pages,application,Single
409,409,1335,agent,A software component that performs a specific task or function,process,Single
410,410,1336,log rotator,"A software component that rotates, compresses, and analyzes logs",process,Single
411,411,1338,Container: WebServer,A container running a web server process,application,Single
412,412,1340,Webserver,A process running a web server application,process,Single
413,413,1343,/,The root directory of the filesystem,filesystem,Single
414,414,1345,/htdocs/,A subdirectory of the filesystem for storing web server files,filesystem,Single
415,415,1347,Container: ContentAgent,A container running a content agent process,application,Single
416,416,1349,ContentAgent,A process running a content agent application,process,Single
417,417,1352,/html/,A subdirectory of the filesystem for storing HTML files,filesystem,Single
418,418,1353,Container: LogRotator,A container running a log rotator process,application,Single
419,419,1355,LogRotator,A process running a log rotator application,process,Single
420,420,1359,Volume: publicHtml,A shared storage volume for web server files,storage,Single
421,421,1360,Volume: logVol,A shared storage volume for log files,storage,Single
422,422,1361,Linux,Operating System,software,Single
423,423,1366,Web-Server container,A container running a web server,software,Single
424,424,1367,ContentAgent container,A container generating content for the web server,software,Single
425,425,1368,LogRotator container,A container rotating logs for the web server,software,Single
426,426,1369,publicHtml volume,A shared directory between containers serving HTML files,software,Single
427,427,1370,logVol volume,A shared directory for storing logs,software,Single
428,428,1376,awsElastic-BlockStore,A type of volume for Amazon Web Services Elastic Block Store Volume storage,hardware,Single
429,429,1383,quobyte,Used for mounting other types of network storage.,software,Single
430,430,1386,vsphere-Volume,Used for mounting other types of network storage.,software,Single
431,431,1387,photonPersistentDisk,Used for mounting other types of network storage.,software,Single
432,432,1388,scaleIO,Used for mounting other types of network storage.,software,Single
433,433,1397,UNIX fortune command,A command that generates a random quote every time it is run.,software,Single
434,434,1399,fortune image,A Docker image that generates fortunes,software,Single
435,435,1401,apt-get,A package manager for Debian-based systems,software,Single
436,436,1402,fortune binary,A program that generates fortunes,software,Single
437,437,1409,disk storage,A type of persistent storage for containers,hardware,Single
438,438,1412,luksa/fortune,the Docker image used by html-generator container,image,Single
439,439,1417,nginx:alpine,the Docker image used by web-server container,image,Single
440,440,1419,read-only,the mode of the volume mounted in web-server container,docker,Single
441,441,1422,TCP,the protocol used for communication between containers and the host machine,protocol,Single
442,442,1425,fortune,the name of the pod that contains two containers and a shared volume,pod,Single
443,443,1428,tmpfs filesystem,a filesystem that stores data in memory instead of on disk,hardware,Single
444,444,1439,repository,the URL of the Git repository to be cloned,database,Single
445,445,1441,directory,the directory within the volume where the repository will be cloned,process,Single
446,446,1449,Git,a version control system,software,Single
447,447,1450,GitHub,a web-based platform for version control and collaboration,application,Single
448,448,1455,sidecar container,a secondary container that augments the operation of a main container,container,Single
449,449,1456,Git sync process,a process that keeps a local directory synchronized with a Git repository,process,Single
450,450,1457,SSH protocol,a secure communication protocol for secure shell access,protocol,Single
451,451,1467,database pod,a pod that stores data in a hostPath volume,pod,Single
